微博id,微博正文,发布时间,点赞数,转发数,评论数
Obv2HBaNg,#雷军 车展模特#北京车展，雷军到哪里哪里就是焦点，还有一个就是周鸿祎，车展看企业大佬成了北京车展的风景线  [组图共7张] 原图 ,2024-04-26 14:01,150,4,32
Obubd3tYv,网友偶遇比亚迪王传福挤地铁参加北京车展  原图 ,2024-04-26 11:49,173,10,37
ObtfTpQBb,北京车展，比亚迪品牌新车亮相：秦L DM-i，12万起，二季度上市宋L智驾版，25万，6月上市海狮07 EV，20万，5月上市海豹06 DM-i，12-15万，二季度上市Ocean-M，15-20万，三季度上市价格是官方预计的，最终还是要看上市价格，汽车价格战这么激烈，或许有惊喜价？  [组图共4张] 原图 ,2024-04-26 09:28,167,7,42
Obo7Ip7sy,1-3月国人最爱买的20万以上轿车：帕萨特1-3月国人最爱买的20万以上SUV：特斯拉Model Y1-3月国人最爱买的20万以上MPV：腾势D91-3月国人最爱买的10万以下轿车：比亚迪海鸥1-3月国人最爱买的10万以下SUV：吉利缤越1-3月国人最爱买的10万以下MPV：五菱佳辰大家还是挺爱买油车，电车品牌要加把劲 [组图共6张] 原图 ,2024-04-25 20:24,146,14,35
ObnM57C6V,贾跃亭：早日还债回国是我最大梦想，造车成功并还债之日，就是我回国之时。  原图 ,2024-04-25 19:30,185,3,45
Obn33BHI5,过来看！东风奕派eπ008实车亮相#2024北京国际车展# 将远方的梦想变成车轮下的路，带着全家更舒适，更平稳的出发！#理想L8的新对手#  原图 ,2024-04-25 17:40,1237,1068,105
ObmAflKl9,"IDC：2024年第一季度，中国智能手机市场出货量约6,926万台，同比增长6.5%。荣耀华为并列一季度中国智能手机市场第一IDC：2024年第一季度，中国折叠屏手机市场出货量达到186万台，同比增长83%。华为折叠屏以44.1%份额排名第一位。  [组图共2张] 原图 ",2024-04-25 16:29,298,6,35
OblTO3Mw1,雷军同比亚迪王传福握手，雷军称，十几年来，比亚迪都是小米手机非常重要的合作伙伴，现在小米汽车也是。小米汽车标准版用的是比亚迪刀片电池，可能有人不知道  [组图共2张] 原图 ,2024-04-25 14:44,213,7,47
OblBN54Zk,备受瞩目的2024北京车展拉开大幕，吉利不再“收敛”，一开场就甩出“王炸”，不仅全球首发全尺寸SUV#银河星舰#，颜值尺寸对标着迈巴赫、库里南来，更是直接将新能源技术拉满，强势打出用AI架构造AI汽车的标签，全面领跑新能源下半场，看样子新能源技术的大决战要打响了，吉利#迈巴河来了#，会不会也大有可为呢？ [组图共3张] 原图 ,2024-04-25 14:00,289,20,99
ObkOJjty6,#雷军车展现场招人# 北京车展小米汽车发布会，小米汽车来招人了！小米欢迎更多人才加入小米汽车，和小米一起打造梦想之车，为中国新能源汽车共同奋斗！小米挺会整活，来车展招聘科研人员，挺重视研发[666]  [组图共4张] 原图 ,2024-04-25 11:59,166,10,44
