微博id,微博正文,发布时间,点赞数,转发数,评论数
NfKIT1Nvz,8月14-8月20日，理想的新能源汽车销量周榜又来了~新势力品牌：①理想，0.8W②蔚来，0.41W③深蓝，0.33W④小鹏，0.32W⑤零跑，0.29W⑥腾势，0.24W⑦哪吒，0.20W⑧极氪，0.15W⑨问界，0.07W⑩魏牌，0.07W中国市场新能源品牌销量：①比亚迪，4.83W②特斯拉，1.39W③埃安，1.04W④理想，0...全文 [组图共3张] 原图 ,2023-08-22 14:33,470,3,96
NfKaV4zRP,【闲聊】今年手机存储白菜价，512GB和1TB全面普及，那么256GB存储容量版本，对你来说还够用吗？  原图 ,2023-08-22 13:09,384,9,255
NfK889rFj,真我GT5 首发极客性能面板，可以自定义处理器运行频率，我记得这个之前魅族18系列上好像也有，类似于Root之后装Scene的效果，不过手机厂商默认集成的这个大概率是改不了温控的，该降频还是会降频。  原图 ,2023-08-22 13:02,336,5,62
NfJCeadPK,[我来了]各种颜色版本都陆续上架啦~小米13/13Ultra定制【面条壳】：小米13：大米定制：小米13 面条壳  超薄/肤感/精致/好用 小米13Ultra：大米定制：小米13Ultra 面条壳  超薄/肤感/精致/好用呼呼，经过3个月反复打磨，小米13系列面条壳终终终于是做出来了。设计这款壳的时候，我们的主要目标是既要又要，颜值、手感在线，同时保护性也要兼顾到一些。所...全文 [组图共10张] 原图 ,2023-08-22 11:44,43,0,31
NfHPXiRIt,大伙早呀[送花花]  ,2023-08-22 07:12,226,0,91
NfA9U5A9h,现实生活中，能够做到对事不对人的，其实挺少。普通朋友、同事之间，很多时候都会因为一件不愉快的事情，没有及时沟通和解导致人与人之间的关系疏远变化。至于网上嘛，能做到对事不对人就更少了~  ,2023-08-21 11:39,732,15,82
NfA8GclRt,Realme GT5，8月28日，猜一个起售价？  原图 ,2023-08-21 11:36,648,9,326
Nfh4JD5xE,【闲聊】电脑上大家现在都用啥浏览器？  ,2023-08-19 11:04,1158,24,526
Nfh2I4i1v,2023 Q2国内3500元以上机型出货量Top10：①iPhone14ProMax②iPhone14Pro③iPhone14④华为P60⑤iPhone13⑥小米13⑦荣耀90Pro⑧OPPO FindX6⑨iPhone14Plus⑩华为Mate50这个出货数据符合大家预期么？  原图 ,2023-08-19 10:59,2073,41,429
NfgY5ncnx,周六早呀，今天都啥安排？  原图 ,2023-08-19 10:48,505,13,143
NfbOmBXZf,#星穹铁道1.3# 有玩星穹铁道的么？三个兑换码，可以兑换300星琼~：RA2Q8CHG4ST8KTKR8DYY4TCUFAJ8RCGY5SVY  原图 ,2023-08-18 21:40,186,1,54
NfbdRFWu0,外媒消息，iPhone15换C口之后，充电功率提升到35W级别~可以说是超速了！  [组图共2张] 原图 ,2023-08-18 20:10,2223,38,343
Nf9MNkzM6,一加Ace2Pro：打破全价位全品牌所有机型预售记录，预售两天15W告罄K60至尊版：首销5分钟，销量突破22万台，全网2023年4K以下，价位段首销销量记录。哪个比较猛？  [组图共2张] 原图 ,2023-08-18 16:31,3647,11,634
Nf9d1zWBU,[我来了]小米13/13Ultra定制【面条壳】：小米13：大米定制：小米13 面条壳  超薄/肤感/精致/好用小米13Ultra：大米定制：小米13Ultra 面条壳  超薄/肤感/精致/好用呼呼，经过3个月反复打磨，小米13系列面条壳终终终于是做出来了。设计这款壳的时候，我们的主要目标是既要又要，颜值、手感在线，同时保护性也要兼顾到一些。所以我们选择了超薄PC这个线路...全文 [组图共6张] 原图 ,2023-08-18 15:03,85,0,46
Nf873DCUa,来一些K60至尊版的样张对比，①，②，③，你更喜欢哪个？（主摄/自动）  [组图共9张] 原图 ,2023-08-18 12:15,328,8,203
Nf85VhXP1,来一些K60至尊版的样张对比，①，②，③，你更喜欢哪个？（主摄/自动）  [组图共9张] 原图 ,2023-08-18 12:12,135,3,69
Nf85FB2za,来一些K60至尊版的样张对比，①，②，③，你更喜欢哪个？（主摄/自动）  [组图共9张] 原图 ,2023-08-18 12:12,100,2,41
